# Measurements for facet joint space width of 5 topographic zones

# FSU,      Central,    Inferior,   Lateral,    Medial,     Superior
# Lumbar Spine Measurements from: DOI: 10.1097/BRS.0b013e3182552ec9
L5-L4,      1.54,       1.77,       1.85,       1.88,       1.54
L4-L3,      1.56,       1.91,       1.78,       1.78,       1.56
L3-L2,      1.51,       1.73,       1.65,       1.55,       1.39
L2-L1,      1.7,        2.1,        1.97,       1.92,       1.6
# Thoracic Spine Measurements from: DOI: 10.4103/ijri.IJRI_390_20 (Measurement for central zone is taken for all topographic zones)
L1-T12,     1.271,      1.271,      1.271,      1.271,      1.271
T12-T11,    1.290,      1.290,      1.290,      1.290,      1.290
T11-T10,    1.378,      1.378,      1.378,      1.378,      1.378
T10-T9,     1.337,      1.337,      1.337,      1.337,      1.337
T9-T8,      1.316,      1.316,      1.316,      1.316,      1.316
T8-T7,      1.329,      1.329,      1.329,      1.329,      1.329
T7-T6,      1.294,      1.294,      1.294,      1.294,      1.294
T6-T5,      1.276,      1.276,      1.276,      1.276,      1.276
T5-T4,      1.169,      1.169,      1.169,      1.169,      1.169
T4-T3,      1.190,      1.190,      1.190,      1.190,      1.190
T3-T2,      1.226,      1.226,      1.226,      1.226,      1.226
T2-T1,      1.163,      1.163,      1.163,      1.163,      1.163
